ranking,lat,lon,score,businesses_5min,businesses_10min,coverage_5min,coverage_10min,score_adjusted
1,29.076488,-111.001216,50.0,13,36,0.31,0.85,20.32
2,29.076089,-110.989274,50.0,29,329,0.68,7.76,22.18
3,29.079532,-111.016984,50.0,25,282,0.59,6.65,21.87
4,29.084639,-111.015689,50.0,28,314,0.66,7.41,22.08
5,29.080245,-111.020926,50.0,39,342,0.92,8.07,22.34
6,29.082316,-110.991623,50.0,72,405,1.7,9.55,22.98
7,29.083326,-111.024818,50.0,32,339,0.75,8.0,22.26
8,29.081176,-110.986895,50.0,102,524,2.41,12.36,23.93
9,29.091088,-111.014241,50.0,33,413,0.78,9.74,22.71
10,29.083432,-111.007525,50.0,44,350,1.04,8.25,22.43
