nom_estab,scian_6dig,scian_rama,es_prioritario,score_fit_base,score_estrato,score_pob,score_volumen,es_farmacia,es_retail_moderno,score_margen,distancia_centro_m,score_accesibilidad,es_competencia,score_competencia,perfil_cliente,score_fit,tiene_telefono,tiene_correo,tiene_web,score_contactabilidad,score_antiguedad,score_total_raw,score_total,decil_prioridad,nombre,lon,lat
OXXO SUC 50PVP KINO VIEJO HMO,462112,4621,True,8,2,5,2.9,False,True,8,2435930.2612482705,0.3755158810854209,False,10.0,C,8,False,False,False,2,5,4.905103176217085,100.0,D1,OXXO SUC 50PVP KINO VIEJO HMO,-112.01306533,28.85717
PUESTECITO EVAN,462112,4621,True,8,2,5,2.9,False,True,8,2436867.1626142464,0.3718141362279126,False,10.0,C,8,False,False,False,2,5,4.904362827245582,99.93404099246386,D1,PUESTECITO EVAN,-111.93409939,28.81902183
OXXO SUC 504XF MAR DE CORTEZ HMO,462112,4621,True,8,2,5,2.9,False,True,8,2436909.8813086012,0.37164535249795905,False,10.0,C,8,False,False,False,2,5,4.904329070499592,99.93103354388367,D1,OXXO SUC 504XF MAR DE CORTEZ HMO,-111.94848355,28.82835332
OXXO SUC 50IPF BAHIA HMO,462112,4621,True,8,2,5,2.9,False,True,8,2437080.8901169486,0.37096968801514696,False,10.0,C,8,False,False,False,2,5,4.90419393760303,99.91899431362097,D1,OXXO SUC 50IPF BAHIA HMO,-111.96652255,28.84132585
SUPER CARNICERIA Y FRUTERIA FRANCO,462112,4621,True,8,2,5,2.9,False,True,8,2437193.9426654186,0.37052301165718116,False,10.0,C,8,False,False,False,2,5,4.904104602331436,99.91103527527669,D1,SUPER CARNICERIA Y FRUTERIA FRANCO,-111.9410123,28.82688449
SUPER DEL MAR,462112,4621,True,8,2,5,2.9,False,True,8,2437313.388178751,0.3700510763705145,False,10.0,C,8,False,False,False,2,5,4.904010215274103,99.90262616434987,D1,SUPER DEL MAR,-111.93968708,28.82738497
OXXO SUC 50NUK KINO NUEVO HMO,462112,4621,True,8,2,5,2.9,False,True,8,2437462.835482414,0.36946060248725043,False,10.0,C,8,False,False,False,2,5,4.90389212049745,99.89210489051408,D1,OXXO SUC 50NUK KINO NUEVO HMO,-111.9384673,28.828281100000034
PUESTO EBENEZER,462112,4621,True,8,2,5,2.9,False,True,8,2437615.878192678,0.3688559229699895,False,10.0,C,8,False,False,False,2,5,4.903771184593999,99.88133049563518,D1,PUESTO EBENEZER,-111.94444419,28.8336479
SUPER MEDITERRANEO,462112,4621,True,8,2,5,2.9,False,True,8,2437651.472429306,0.36871528833418044,False,10.0,C,8,False,False,False,2,5,4.903743057666836,99.8788246176343,D1,SUPER MEDITERRANEO,-111.93554558,28.82856079
PUESTO BARNETT,462112,4621,True,8,2,5,2.9,False,True,8,2442304.124678667,0.3503324231113214,False,10.0,C,8,False,False,False,2,5,4.900066484622264,99.55127218156905,D1,PUESTO BARNETT,-112.16002127,29.015758220000027
